City,Cloudiness(%),Country,Date,Humidity(%),Lat,Lng,Max Temp (F),Wind Speed (mph)
Punta Arenas,0,CL,1604294738,76,-53.15,-70.92,50.0,9.17
Guigue,100,VE,1604294739,88,10.09,-67.78,71.87,2.86
Albany,74,US,1604294442,64,42.6,-73.97,37.99,1.01
Rikitea,78,PF,1604294707,85,-23.12,-134.97,73.92,24.65
Vao,100,NC,1604294739,82,-22.67,167.48,74.53,14.25
Ushuaia,40,AR,1604294160,58,-54.8,-68.3,55.4,4.7
Temba,98,ZA,1604294739,84,-25.38,28.26,61.0,1.99
Half Moon Bay,5,US,1604294739,82,37.46,-122.43,63.0,4.59
Meiktila,18,MM,1604294739,67,20.87,95.87,85.75,7.36
Aripuanã,86,BR,1604294740,98,-9.17,-60.63,69.98,0.72
Lagoa,16,PT,1604294740,67,39.05,-27.98,61.92,16.69
Coquimbo,90,CL,1604294501,82,-29.95,-71.34,55.4,2.24
Nouadhibou,0,MR,1604294740,53,20.93,-17.03,73.4,12.75
Fortuna,1,US,1604294583,93,40.6,-124.16,50.0,8.05
Mataura,25,NZ,1604294180,68,-46.19,168.86,55.99,10.0
Robertson,40,US,1604294741,47,36.52,-86.87,39.99,4.7
Sitka,90,US,1604294741,82,57.05,-135.33,57.2,31.09
Lorengau,29,PG,1604294741,68,-2.02,147.27,85.5,1.72
Ancud,50,CL,1604294741,93,-41.87,-73.82,46.99,2.24
Cabo San Lucas,5,MX,1604294565,73,22.89,-109.91,75.2,8.05
Jamestown,90,US,1604294238,92,42.1,-79.24,34.0,23.04
Kapaa,90,US,1604294708,88,22.08,-159.32,75.2,5.82
Ochamchira,100,GE,1604294742,79,42.71,41.47,58.5,3.71
Tasiilaq,0,GL,1604294742,58,65.61,-37.64,24.8,4.7
Barrow,90,US,1604294742,68,71.29,-156.79,26.6,9.17
Saskylakh,66,RU,1604294742,89,71.92,114.08,-8.59,9.48
Hasaki,75,JP,1604294714,73,35.73,140.83,70.0,10.29
Gamba,93,GA,1604294742,92,-2.65,10.0,75.69,2.66
Port Alfred,8,ZA,1604294743,76,-33.59,26.89,66.87,17.0
Tuktoyaktuk,90,CA,1604294743,78,69.45,-133.04,10.4,17.22
Cerfontaine,100,BE,1604294743,87,50.17,4.41,63.0,20.8
Jumla,0,NP,1604294743,30,29.27,82.18,63.45,5.39
Norman Wells,75,CA,1604294743,84,65.28,-126.83,1.4,4.7
Coahuayana Viejo,25,MX,1604294743,81,18.73,-103.68,77.61,2.64
Chegdomyn,99,RU,1604294744,89,51.12,133.02,33.01,3.38
Mitsamiouli,70,KM,1604294744,71,-11.38,43.28,78.3,9.37
Yangi Marg`ilon,100,UZ,1604294744,22,40.43,71.72,59.0,2.24
Tuatapere,11,NZ,1604294744,65,-46.13,167.68,55.0,8.99
Yeppoon,0,AU,1604294744,38,-23.13,150.73,89.6,10.29
Ouallam,0,NE,1604294744,19,14.32,2.09,76.01,11.99
Severo-Kuril'sk,43,RU,1604294744,78,50.68,156.12,42.78,13.4
Poum,69,NC,1604294745,73,-20.23,164.02,78.31,8.7
Adré,94,TD,1604294745,32,13.47,22.2,74.57,15.28
Kjøllefjord,0,NO,1604294527,80,70.95,27.35,41.0,39.15
Kaitangata,78,NZ,1604294745,66,-46.28,169.85,53.01,8.01
Upernavik,98,GL,1604294745,92,72.79,-56.15,16.48,4.5
